#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001) 
#plane-paralell geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135
7.4000 45000.0000 -3.5000 1.3694 0.0998 0.1886 0.0371 0.0220 0.0562 0.0159 0.0000 0.0000 0.0157
7.4000 45000.0000 -3.7500 1.1940 0.0318 0.2338 0.0270 0.0220 0.0563 0.0159 0.0000 0.0000 0.0136
7.4000 45000.0000 -4.0000 1.0069 0.0096 0.2756 0.0186 0.0219 0.0561 0.0159 0.0000 0.0000 0.0116
7.4000 50000.0000 -1.5000 0.1694 3.6163 0.0189 0.0684 0.0208 0.0538 0.0150 0.0022 0.0067 0.0211
7.4000 50000.0000 -1.7500 0.2241 3.2330 0.0236 0.0749 0.0209 0.0540 0.0150 0.0016 0.0044 0.0232
7.4000 50000.0000 -2.0000 0.3064 2.8225 0.0305 0.0784 0.0211 0.0542 0.0151 0.0012 0.0026 0.0246
7.4000 50000.0000 -2.2500 0.4315 2.3789 0.0408 0.0783 0.0212 0.0544 0.0152 0.0010 0.0013 0.0248
7.4000 50000.0000 -2.5000 0.6162 1.8985 0.0561 0.0747 0.0214 0.0548 0.0153 0.0000 0.0000 0.0240
7.4000 50000.0000 -2.7500 0.8649 1.3841 0.0780 0.0680 0.0216 0.0552 0.0155 0.0000 0.0000 0.0225
7.4000 50000.0000 -3.0000 1.1365 0.8686 0.1079 0.0592 0.0218 0.0558 0.0157 0.0000 0.0000 0.0206
7.4000 50000.0000 -3.2500 1.3242 0.4383 0.1463 0.0492 0.0221 0.0565 0.0159 0.0000 0.0000 0.0186
7.4000 50000.0000 -3.5000 1.3357 0.1736 0.1914 0.0386 0.0224 0.0572 0.0162 0.0000 0.0000 0.0165
7.4000 50000.0000 -3.7500 1.2067 0.0575 0.2391 0.0285 0.0227 0.0581 0.0164 0.0000 0.0000 0.0145
7.4000 50000.0000 -4.0000 1.0317 0.0176 0.2847 0.0199 0.0230 0.0587 0.0166 0.0000 0.0000 0.0127
7.4000 55000.0000 -1.5000 0.1668 3.8454 0.0192 0.0691 0.0209 0.0543 0.0151 0.0000 0.0066 0.0229
7.4000 55000.0000 -1.7500 0.2194 3.4206 0.0237 0.0754 0.0210 0.0544 0.0152 0.0000 0.0043 0.0249
7.4000 55000.0000 -2.0000 0.2989 2.9734 0.0303 0.0791 0.0211 0.0545 0.0152 0.0000 0.0024 0.0259
7.4000 55000.0000 -2.2500 0.4202 2.5018 0.0401 0.0793 0.0212 0.0547 0.0153 0.0000 0.0012 0.0259
7.4000 55000.0000 -2.5000 0.6009 2.0009 0.0546 0.0759 0.0214 0.0550 0.0154 0.0000 0.0000 0.0248
7.4000 55000.0000 -2.7500 0.8473 1.4711 0.0753 0.0696 0.0216 0.0556 0.0156 0.0000 0.0000 0.0232
7.4000 55000.0000 -3.0000 1.1248 0.9385 0.1037 0.0611 0.0219 0.0562 0.0158 0.0000 0.0000 0.0213
7.4000 55000.0000 -3.2500 1.3294 0.4828 0.1405 0.0512 0.0223 0.0571 0.0161 0.0000 0.0000 0.0193
7.4000 55000.0000 -3.5000 1.3587 0.1924 0.1852 0.0407 0.0228 0.0583 0.0165 0.0000 0.0000 0.0173
7.4000 55000.0000 -3.7500 1.2345 0.0644 0.2337 0.0306 0.0233 0.0596 0.0169 0.0000 0.0000 0.0154
