#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 100 kK
# SED: black body 
#spherical geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135	NII_6584	CIV_1549	CIII_1909
7.1 100000 -1.52 0.1874 0.9292 0.0355 0.0259 0.0151 0.0387 0.0108 0.1010 0.0033 0.0105 0.0070 0.3922 0.4274
7.1 100000 -1.00 0.1524 0.9527 0.0294 0.0239 0.0140 0.0358 0.0100 0.1146 0.0039 0.0096 0.0057 0.5490 0.4492
7.1 100000 -0.63 0.1321 0.9457 0.0257 0.0222 0.0131 0.0334 0.0093 0.1267 0.0043 0.0089 0.0049 0.6453 0.4503
7.1 100000 -0.04 0.1055 0.8910 0.0211 0.0193 0.0114 0.0292 0.0081 0.1497 0.0046 0.0077 0.0040 0.7648 0.4259
7.1 100000 0.40 0.0898 0.8185 0.0182 0.0171 0.0100 0.0257 0.0071 0.1693 0.0047 0.0068 0.0034 0.8133 0.3896
7.4 30000 -3.96 0.8004 0.0000 0.2867 0.0058 0.0110 0.0281 0.0080 0.0000 0.0000 0.0042 0.0423 0.0000 0.0033
7.4 30000 -3.68 0.9651 0.0015 0.2793 0.0099 0.0125 0.0319 0.0090 0.0000 0.0000 0.0055 0.0467 0.0000 0.0077
7.4 30000 -3.39 1.1533 0.0051 0.2629 0.0162 0.0136 0.0347 0.0098 0.0000 0.0000 0.0070 0.0510 0.0000 0.0174
7.4 30000 -3.06 1.3720 0.0184 0.2322 0.0254 0.0143 0.0367 0.0103 0.0000 0.0000 0.0088 0.0542 0.0000 0.0395
7.4 30000 -2.68 1.5905 0.0645 0.1915 0.0366 0.0151 0.0386 0.0108 0.0000 0.0000 0.0110 0.0539 0.0000 0.0844
7.4 30000 -2.22 1.7302 0.1939 0.1485 0.0482 0.0161 0.0413 0.0116 0.0000 0.0000 0.0136 0.0492 0.0000 0.1591
7.4 30000 -1.73 1.7239 0.4035 0.1128 0.0576 0.0176 0.0451 0.0126 0.0000 0.0000 0.0163 0.0427 0.0000 0.2434
7.4 30000 -1.24 1.6305 0.6461 0.0843 0.0650 0.0192 0.0493 0.0138 0.0000 0.0000 0.0190 0.0356 0.0036 0.3280
7.4 30000 -0.77 1.4914 0.9065 0.0624 0.0708 0.0205 0.0525 0.0147 0.0000 0.0000 0.0213 0.0286 0.0123 0.4150
7.4 30000 -0.34 1.3321 1.1716 0.0471 0.0751 0.0210 0.0539 0.0150 0.0000 0.0000 0.0229 0.0226 0.0290 0.5031
7.4 30000 0.08 1.1594 1.4512 0.0363 0.0783 0.0211 0.0544 0.0151 0.0000 0.0000 0.0240 0.0176 0.0565 0.6005
7.4 32500 -3.96 0.8454 0.0000 0.2878 0.0075 0.0134 0.0342 0.0097 0.0000 0.0000 0.0054 0.0438 0.0000 0.0052
7.4 32500 -3.68 1.0217 0.0031 0.2740 0.0126 0.0150 0.0385 0.0109 0.0000 0.0000 0.0071 0.0483 0.0000 0.0120
7.4 32500 -3.39 1.2224 0.0109 0.2497 0.0202 0.0164 0.0419 0.0118 0.0000 0.0000 0.0091 0.0523 0.0000 0.0271
7.4 32500 -3.06 1.4432 0.0396 0.2120 0.0306 0.0174 0.0445 0.0125 0.0000 0.0000 0.0114 0.0540 0.0000 0.0599
7.4 32500 -2.69 1.6275 0.1275 0.1696 0.0421 0.0182 0.0467 0.0131 0.0000 0.0000 0.0140 0.0511 0.0000 0.1191
7.4 32500 -2.20 1.6811 0.3613 0.1253 0.0544 0.0193 0.0493 0.0138 0.0000 0.0000 0.0171 0.0435 0.0000 0.2199
7.4 32500 -1.71 1.5880 0.6565 0.0933 0.0635 0.0202 0.0519 0.0145 0.0000 0.0000 0.0197 0.0359 0.0018 0.3237
7.4 32500 -1.22 1.4365 0.9611 0.0694 0.0703 0.0209 0.0536 0.0150 0.0000 0.0000 0.0218 0.0289 0.0067 0.4245
